date,kospi_close,trading_value,v_kospi200_close,v_level_pct_252,v_z_60,v_change_20,kospi_return_20,kospi_return_60,kospi_drawdown_60,participation_pct_252,participation_ratio_20,future_return_20,future_min_return_20,future_risk_event_20,score_balanced_v01,score_downside_sensitive_v01,score_participation_aware_v01
2010-01-04,1696.14,4358418151472.0,20.94,,,,,,,,,-0.05288478545403097,-0.05524897708915544,0.0,,,
2010-01-05,1690.62,6821590785836.0,20.6,,,,,,,,,-0.05608001798156881,-0.05608001798156881,0.0,,,
2010-01-06,1705.32,6386635236224.0,19.89,,,,,,,,,-0.05295193863908243,-0.06421668660427371,0.0,,,
2010-01-07,1683.45,7493146674354.0,19.81,,,,,,,,,-0.03981704238320116,-0.05205975823457787,0.0,,,
2010-01-08,1695.26,6960330612180.0,19.45,,,,,,,,,-0.07558722555832154,-0.07558722555832154,0.0,,,
2010-01-11,1694.12,6933092763543.0,19.22,,,,,,,,,-0.08342384246688539,-0.08342384246688539,1.0,,,
2010-01-12,1698.64,5323399481570.0,18.83,,,,,,,,,-0.07544270710686196,-0.08586280789337364,0.0,,,
2010-01-13,1671.41,5277928437518.0,19.77,,,,,,,,,-0.060601528051166476,-0.07097001932500113,0.0,,,
2010-01-14,1685.77,6215717255182.0,19.57,,,,,,,,,-0.05217793649192948,-0.07888383350041817,0.0,,,
2010-01-15,1701.8,6477859278344.0,18.19,,,,,,,,,-0.06354448231284515,-0.08756023034434124,0.0,,,
2010-01-18,1711.78,6328654130416.0,18.53,,,,,,,,,-0.0646870509060744,-0.0928799261587353,0.0,,,
2010-01-19,1710.22,5690158062506.0,18.27,,,,,,,,,-0.048408976622890565,-0.09205248447568148,0.0,,,
2010-01-20,1714.38,7283258937342.0,18.06,,,,,,,,,-0.054357843651932525,-0.09425564927262342,0.0,,,
2010-01-21,1722.01,5796623496523.0,18.13,,,,,,,,,-0.07439561907305992,-0.09826888345596141,0.0,,,
2010-01-22,1684.35,6689880118370.0,20.92,,,,,,,,,-0.03398937275506875,-0.07810728174073078,0.0,,,
2010-01-25,1670.2,5832932658493.0,21.98,,,,,,,,,-0.02472757753562449,-0.07029697042270389,0.0,,,
2010-01-26,1637.34,6109983682465.0,23.3,,,,,,,,,-0.014969401590384401,-0.05163863339318653,0.0,,,
2010-01-27,1625.48,5757833837311.0,24.11,,,,,,,,,-0.023359253881930275,-0.04471909835863874,0.0,,,
2010-01-28,1642.43,5466706426794.0,22.35,,,,,,,,,-0.029133661708566017,-0.05457766845466783,0.0,,,
2010-01-29,1602.43,5724933218943.0,23.29,,,,,,,,,0.007919222680553784,-0.03097795223504307,0.0,,,
2010-02-01,1606.44,5105694335794.0,23.13,,,0.10458452722063027,-0.05288478545403097,,,,,0.009959911356788975,-0.03339682776823294,0.0,,,
2010-02-02,1595.81,5002556626360.0,22.15,,,0.0752427184466018,-0.05608001798156881,,,,,0.014030492351846391,-0.026958096515249275,0.0,,,
2010-02-03,1615.02,4453095560998.0,20.51,,,0.03117144293614893,-0.05295193863908243,,,,,0.012105113249371469,-0.03853203056308896,0.0,,,
2010-02-04,1616.42,4090517377782.0,20.82,,,0.0509843513377084,-0.03981704238320116,,,,,0.026985560683485676,-0.039364769057547044,0.0,,,
2010-02-05,1567.12,4935752385810.0,22.71,,,0.16760925449871467,-0.07558722555832154,,,,,0.059797590484455654,-0.009144162540201117,0.0,,,
2010-02-08,1552.79,4176708723044.0,22.92,,,0.19250780437044757,-0.08342384246688539,,,,,0.07048602837473195,0.011160556160201951,0.0,,,
2010-02-09,1570.49,4304480778958.0,23.71,,,0.25916091343600645,-0.07544270710686196,,,,,0.05484275608249645,-0.00023559526007810305,0.0,,,
2010-02-10,1570.12,4181024744732.0,22.97,,,0.161861406170966,-0.060601528051166476,,,,,0.05898912185055938,0.01107558657936969,0.0,,,
2010-02-11,1597.81,4399197406147.0,22.68,,,0.15891670924885015,-0.05217793649192948,,,,,0.032350529787646964,-0.006446323405160825,0.0,,,
2010-02-12,1593.66,4237603856070.0,21.74,,0.4138215190311974,0.19516217702034067,-0.06354448231284515,,-0.07453499108599826,,,0.03410388665085384,-0.003859041451752643,0.0,,,
2010-02-16,1601.05,2729828749675.0,21.11,,0.08179875109926465,0.1392336751214247,-0.0646870509060744,,-0.07024349452093781,,,0.05109771712313793,-0.008456950126479512,0.0,,,
2010-02-17,1627.43,4102924844145.0,19.58,,-0.7175532855603709,0.0717022441160371,-0.048408976622890565,,-0.05492418743212868,,,0.029334595036345723,-0.024529472849830758,0.0,,,
2010-02-18,1621.19,3279849193416.0,19.63,,-0.6754205444288184,0.08693244739756367,-0.054357843651932525,,-0.05854785976852628,,,0.04004465855328476,-0.020774862909344383,0.0,,,
2010-02-19,1593.9,3773189132831.0,20.8,,-0.04002643643656027,0.1472697186982903,-0.07439561907305992,,-0.07439561907305992,,,0.04941966246314067,-0.004009034443817061,0.0,,,
2010-02-22,1627.1,3450451620031.0,20.15,,-0.3916854990166477,-0.03680688336520088,-0.03398937275506875,,-0.055115823949918985,,,0.033630385348165426,-0.02433163296662766,0.0,,,
2010-02-23,1628.9,3517249459121.0,19.69,,-0.6357291090190663,-0.10418562329390346,-0.02472757753562449,,-0.054070533852881186,,,0.03199091411381905,-0.025409785744981317,0.0,,,
2010-02-24,1612.83,3887565935050.0,20.01,,-0.44833720270274113,-0.14120171673819737,-0.014969401590384401,,-0.06340265155254621,,,0.046849326959444104,-0.015699112739718357,0.0,,,
2010-02-25,1587.51,4001652066004.0,21.06,,0.14722277865470088,-0.12650352550808797,-0.023359253881930275,,-0.078106398917544,,,0.06942318473584419,0.004453515253447282,0.0,,,
2010-02-26,1594.58,3197100724637.0,20.59,,-0.12226880466540208,-0.07874720357941845,-0.029133661708566017,,-0.07400073170306798,,,0.06108818623085699,0.012881134844284992,0.0,,,
2010-03-02,1615.12,4190813099340.0,19.54,,-0.7218457298069781,-0.16101331043366252,0.007919222680553784,,-0.06207281026242595,,,0.05267100896527821,0.0019069790479966375,0.0,,,
2010-03-03,1622.44,3290127512422.0,19.24,,-0.8786613713338203,-0.1681798530047558,0.009959911356788975,,-0.05782196386780558,,,0.043397598678533544,-0.0026133477971450603,0.0,,,
2010-03-04,1618.2,3305752748197.0,19.64,,-0.6321662787343346,-0.11331828442437919,0.014030492351846391,,-0.06028420276305013,,,0.06239648992707947,0.010116178469904868,0.0,,,
2010-03-05,1634.57,3451049433367.0,18.76,,-1.123859339181323,-0.08532423208191131,0.012105113249371469,,-0.05077787004721235,,,0.05439962803673137,0.00822234593807547,0.0,,,
2010-03-08,1660.04,4862667635268.0,18.75,,-1.1009374256349491,-0.09942363112391928,0.026985560683485676,,-0.035987015174127945,,,0.03912556323944005,-0.007246813329799262,0.0,,,
2010-03-09,1660.83,4556317524542.0,19.04,,-0.9107683862546465,-0.16160281814178779,0.059797590484455654,,-0.0355282489648725,,,0.03929360620894373,-0.007719032050239938,0.0,,,
2010-03-10,1662.24,3942967867993.0,19.21,,-0.79584149218351,-0.16186736474694596,0.07048602837473195,,-0.03470943838885954,,,0.03871883723168734,-0.008560737318317413,0.0,,,
2010-03-11,1656.62,4791917697021.0,19.0,,-0.9025544789305918,-0.19865035849852386,0.05484275608249645,,-0.03797306635849973,,,0.04657676473783967,-0.0051973295022393895,0.0,,,
2010-03-12,1662.74,3772684285274.0,17.78,,-1.5675985978210814,-0.2259468872442315,0.05898912185055938,,-0.0344190800285713,,,0.03712546760166946,-0.00885887150125697,0.0,,,
2010-03-15,1649.5,3421870999609.0,18.41,,-1.169793748025198,-0.18827160493827155,0.032350529787646964,,-0.042107769409004625,,,0.036859654440739575,-0.0009033040315247209,0.0,,,
2010-03-16,1648.01,5002024886215.0,18.19,,-1.2635617068060387,-0.16329346826126945,0.03410388665085384,,-0.042973037322663665,,,0.03797307055175625,0.014963501435064197,0.0,,,
2010-03-17,1682.86,5769167400625.0,17.44,,-1.634521245751333,-0.17385125532922774,0.05109771712313793,,-0.02273505961057143,,,0.031179064212115026,-0.0060551679878301234,0.0,,,
